#    L    TT             EE             BB             TE          
   338   0.185384E+04   0.214371E+02   0.248350E-01   0.276482E+02
   339   0.184177E+04   0.214793E+02   0.249216E-01   0.254113E+02
   340   0.183028E+04   0.215165E+02   0.250086E-01   0.231750E+02
   341   0.181935E+04   0.215486E+02   0.250960E-01   0.209404E+02
   342   0.180898E+04   0.215754E+02   0.251839E-01   0.187083E+02
   343   0.179918E+04   0.215971E+02   0.252723E-01   0.164814E+02
   344   0.178993E+04   0.216134E+02   0.253611E-01   0.142597E+02
   345   0.178125E+04   0.216243E+02   0.254505E-01   0.120451E+02
   346   0.177312E+04   0.216298E+02   0.255404E-01   0.983863E+01
   347   0.176554E+04   0.216297E+02   0.256309E-01   0.764190E+01
   348   0.175852E+04   0.216239E+02   0.257220E-01   0.545595E+01
   349   0.175206E+04   0.216125E+02   0.258136E-01   0.328399E+01
   350   0.174615E+04   0.215954E+02   0.259059E-01   0.112628E+01
   351   0.174080E+04   0.215727E+02   0.259988E-01  -0.101489E+01
   352   0.173601E+04   0.215442E+02   0.260923E-01  -0.313864E+01
   353   0.173177E+04   0.215103E+02   0.261865E-01  -0.524504E+01
   354   0.172807E+04   0.214708E+02   0.262814E-01  -0.733190E+01
   355   0.172492E+04   0.214260E+02   0.263769E-01  -0.940002E+01
   356   0.172230E+04   0.213758E+02   0.264732E-01  -0.114487E+02
   357   0.172020E+04   0.213203E+02   0.265701E-01  -0.134772E+02
   358   0.171862E+04   0.212597E+02   0.266678E-01  -0.154850E+02
   359   0.171756E+04   0.211938E+02   0.267662E-01  -0.174719E+02
   360   0.171699E+04   0.211229E+02   0.268654E-01  -0.194367E+02
   361   0.171692E+04   0.210469E+02   0.269653E-01  -0.213803E+02
   362   0.171733E+04   0.209661E+02   0.270660E-01  -0.233010E+02
   363   0.171823E+04   0.208803E+02   0.271674E-01  -0.251983E+02
   364   0.171959E+04   0.207898E+02   0.272696E-01  -0.270714E+02
