#    L    TT             EE             TE             PP             TP          
   103   0.327191E+04   0.100089E+01  -0.343918E+02   0.321117E+07  -0.596607E+04
   104   0.331081E+04   0.101230E+01  -0.350669E+02   0.318988E+07  -0.586285E+04
   105   0.334983E+04   0.102322E+01  -0.357298E+02   0.316874E+07  -0.576155E+04
   106   0.338896E+04   0.103362E+01  -0.363797E+02   0.314775E+07  -0.566217E+04
   107   0.342819E+04   0.104349E+01  -0.370157E+02   0.312691E+07  -0.556471E+04
   108   0.346749E+04   0.105281E+01  -0.376370E+02   0.310622E+07  -0.546918E+04
   109   0.350686E+04   0.106156E+01  -0.382424E+02   0.308569E+07  -0.537557E+04
   110   0.354629E+04   0.106972E+01  -0.388313E+02   0.306531E+07  -0.528389E+04
   111   0.358575E+04   0.107728E+01  -0.394028E+02   0.304509E+07  -0.519413E+04
   112   0.362525E+04   0.108424E+01  -0.399559E+02   0.302504E+07  -0.510626E+04
   113   0.366476E+04   0.109059E+01  -0.404904E+02   0.300514E+07  -0.502024E+04
   114   0.370429E+04   0.109632E+01  -0.410052E+02   0.298540E+07  -0.493602E+04
   115   0.374380E+04   0.110143E+01  -0.414999E+02   0.296581E+07  -0.485356E+04
   116   0.378331E+04   0.110592E+01  -0.419737E+02   0.294638E+07  -0.477283E+04
   117   0.382279E+04   0.110979E+01  -0.424260E+02   0.292712E+07  -0.469377E+04
   118   0.386224E+04   0.111303E+01  -0.428561E+02   0.290800E+07  -0.461636E+04
   119   0.390163E+04   0.111564E+01  -0.432633E+02   0.288905E+07  -0.454055E+04
   120   0.394097E+04   0.111762E+01  -0.436471E+02   0.287024E+07  -0.446629E+04
   121   0.398023E+04   0.111896E+01  -0.440066E+02   0.285160E+07  -0.439354E+04
   122   0.401940E+04   0.111968E+01  -0.443414E+02   0.283311E+07  -0.432227E+04
   123   0.405848E+04   0.111976E+01  -0.446507E+02   0.281477E+07  -0.425243E+04
   124   0.409745E+04   0.111920E+01  -0.449338E+02   0.279659E+07  -0.418398E+04
   125   0.413629E+04   0.111801E+01  -0.451902E+02   0.277857E+07  -0.411689E+04
   126   0.417499E+04   0.111618E+01  -0.454191E+02   0.276069E+07  -0.405109E+04
   127   0.421355E+04   0.111373E+01  -0.456200E+02   0.274297E+07  -0.398657E+04
   128   0.425193E+04   0.111064E+01  -0.457923E+02   0.272541E+07  -0.392327E+04
   129   0.429015E+04   0.110693E+01  -0.459352E+02   0.270800E+07  -0.386115E+04
   130   0.432818E+04   0.110258E+01  -0.460482E+02   0.269073E+07  -0.380018E+04
   131   0.436599E+04   0.109761E+01  -0.461307E+02   0.267362E+07  -0.374031E+04
   132   0.440360E+04   0.109205E+01  -0.461822E+02   0.265667E+07  -0.368153E+04
   133   0.444097E+04   0.108589E+01  -0.462025E+02   0.263986E+07  -0.362382E+04
   134   0.447809E+04   0.107918E+01  -0.461910E+02   0.262320E+07  -0.356716E+04
   135   0.451495E+04   0.107192E+01  -0.461476E+02   0.260668E+07  -0.351154E+04
