#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.651255E-03   0.181684E+08   0.181674E+08   0.568531E+07   0.547747E+07   0.180333E+08   0.181677E+08   0.181683E+08   0.181691E+08  -0.434134E+00   0.111327E+08   0.111323E+08   0.199586E+03
   0.719722E-03   0.181532E+08   0.181520E+08   0.422310E+07   0.403787E+07   0.179896E+08   0.181522E+08   0.181530E+08   0.181533E+08  -0.433744E+00   0.111230E+08   0.111226E+08   0.204571E+03
   0.795387E-03   0.181350E+08   0.181337E+08   0.303711E+07   0.288623E+07   0.179372E+08   0.181339E+08   0.181348E+08   0.181347E+08  -0.433286E+00   0.111116E+08   0.111111E+08   0.206947E+03
   0.879006E-03   0.181136E+08   0.181121E+08   0.216930E+07   0.206118E+07   0.178746E+08   0.181123E+08   0.181134E+08   0.181128E+08  -0.432752E+00   0.110981E+08   0.110976E+08   0.206332E+03
   0.971417E-03   0.180884E+08   0.180867E+08   0.159924E+07   0.153591E+07   0.178001E+08   0.180868E+08   0.180881E+08   0.180872E+08  -0.432130E+00   0.110823E+08   0.110817E+08   0.202512E+03
   0.107354E-02   0.180589E+08   0.180570E+08   0.123925E+07   0.121444E+07   0.177118E+08   0.180570E+08   0.180586E+08   0.180573E+08  -0.431406E+00   0.110638E+08   0.110632E+08   0.195492E+03
   0.118641E-02   0.180244E+08   0.180223E+08   0.965067E+06   0.965388E+06   0.176078E+08   0.180222E+08   0.180240E+08   0.180224E+08  -0.430566E+00   0.110423E+08   0.110417E+08   0.185530E+03
   0.131113E-02   0.179842E+08   0.179821E+08   0.682767E+06   0.692335E+06   0.174863E+08   0.179816E+08   0.179839E+08   0.179818E+08  -0.429591E+00   0.110174E+08   0.110167E+08   0.173112E+03
   0.144897E-02   0.179377E+08   0.179355E+08   0.392931E+06   0.399709E+06   0.173469E+08   0.179347E+08   0.179374E+08   0.179348E+08  -0.428465E+00   0.109886E+08   0.109879E+08   0.158916E+03
   0.160131E-02   0.178840E+08   0.178817E+08   0.180607E+06   0.179825E+06   0.171867E+08   0.178805E+08   0.178837E+08   0.178806E+08  -0.427166E+00   0.109553E+08   0.109546E+08   0.143768E+03
   0.176965E-02   0.178222E+08   0.178199E+08   0.102384E+06   0.947060E+05   0.170044E+08   0.178182E+08   0.178219E+08   0.178182E+08  -0.425672E+00   0.109171E+08   0.109164E+08   0.128609E+03
   0.195570E-02   0.177513E+08   0.177489E+08   0.870933E+05  -0.286982E+06   0.167987E+08   0.177467E+08   0.177510E+08   0.177466E+08  -0.423960E+00   0.108733E+08   0.108726E+08   0.114399E+03
   0.216130E-02   0.176703E+08   0.176679E+08   0.291733E+05  -0.233895E+06   0.165690E+08   0.176649E+08   0.176699E+08   0.176649E+08  -0.422006E+00   0.108232E+08   0.108226E+08   0.101903E+03
   0.238852E-02   0.175780E+08   0.175755E+08  -0.335010E+05  -0.190503E+06   0.163150E+08   0.175719E+08   0.175776E+08   0.175719E+08  -0.419781E+00   0.107662E+08   0.107656E+08   0.914480E+02
   0.263963E-02   0.174732E+08   0.174706E+08  -0.276545E+05  -0.155048E+06   0.160369E+08   0.174664E+08   0.174728E+08   0.174663E+08  -0.417259E+00   0.107017E+08   0.107010E+08   0.828589E+02
   0.291713E-02   0.173549E+08   0.173520E+08  -0.294346E+05  -0.126089E+06   0.157351E+08   0.173471E+08   0.173544E+08   0.173471E+08  -0.414410E+00   0.106287E+08   0.106280E+08   0.755883E+02
   0.322382E-02   0.172216E+08   0.172186E+08  -0.402620E+05  -0.102447E+06   0.154099E+08   0.172130E+08   0.172212E+08   0.172130E+08  -0.411205E+00   0.105466E+08   0.105460E+08   0.689282E+02
   0.356274E-02   0.170723E+08   0.170690E+08  -0.264952E+05  -0.831546E+05   0.150611E+08   0.170627E+08   0.170718E+08   0.170627E+08  -0.407614E+00   0.104547E+08   0.104540E+08   0.624095E+02
   0.393729E-02   0.169056E+08   0.169021E+08  -0.392652E+05  -0.674217E+05   0.146885E+08   0.168951E+08   0.169051E+08   0.168951E+08  -0.403609E+00   0.103522E+08   0.103515E+08   0.561089E+02
   0.435122E-02   0.167204E+08   0.167165E+08  -0.295290E+05  -0.545999E+05   0.142895E+08   0.167088E+08   0.167198E+08   0.167088E+08  -0.399159E+00   0.102382E+08   0.102376E+08   0.504456E+02
   0.480867E-02   0.165153E+08   0.165110E+08  -0.302200E+05  -0.441583E+05   0.138663E+08   0.165027E+08   0.165146E+08   0.165027E+08  -0.394234E+00   0.101121E+08   0.101115E+08   0.456556E+02
   0.531421E-02   0.162891E+08   0.162843E+08  -0.273825E+05  -0.356620E+05   0.134185E+08   0.162754E+08   0.162884E+08   0.162754E+08  -0.388805E+00   0.997310E+07   0.997244E+07   0.414417E+02
   0.587290E-02   0.160406E+08   0.160352E+08  -0.171662E+05  -0.287550E+05   0.129456E+08   0.160258E+08   0.160397E+08   0.160258E+08  -0.382841E+00   0.982037E+07   0.981971E+07   0.374587E+02
   0.649032E-02   0.157688E+08   0.157627E+08  -0.135656E+05  -0.231462E+05   0.124224E+08   0.157528E+08   0.157679E+08   0.157528E+08  -0.376319E+00   0.965336E+07   0.965270E+07   0.338479E+02
   0.717265E-02   0.154717E+08   0.154647E+08  -0.137155E+05  -0.185954E+05   0.118867E+08   0.154544E+08   0.154706E+08   0.154544E+08  -0.369191E+00   0.947081E+07   0.947015E+07   0.307565E+02
   0.792672E-02   0.151480E+08   0.151400E+08  -0.103633E+05  -0.149078E+05   0.113253E+08   0.151295E+08   0.151467E+08   0.151295E+08  -0.361429E+00   0.927200E+07   0.927134E+07   0.279486E+02
   0.876006E-02   0.147969E+08   0.147877E+08  -0.842250E+04  -0.119239E+05   0.107468E+08   0.147772E+08   0.147955E+08   0.147772E+08  -0.353013E+00   0.905642E+07   0.905575E+07   0.254311E+02
   0.968102E-02   0.144172E+08   0.144065E+08  -0.716711E+04  -0.951298E+04   0.101542E+08   0.143963E+08   0.144155E+08   0.143963E+08  -0.343913E+00   0.882328E+07   0.882261E+07   0.232456E+02
   0.106988E-01   0.140075E+08   0.139951E+08  -0.666289E+04  -0.756811E+04   0.954470E+07   0.139854E+08   0.140055E+08   0.139854E+08  -0.334098E+00   0.857180E+07   0.857112E+07   0.212744E+02
   0.118236E-01   0.135666E+08   0.135523E+08  -0.489363E+04  -0.600195E+04   0.891566E+07   0.135434E+08   0.135644E+08   0.135434E+08  -0.323539E+00   0.830124E+07   0.830055E+07   0.195633E+02
   0.130666E-01   0.130936E+08   0.130770E+08  -0.427599E+04  -0.474320E+04   0.827895E+07   0.130693E+08   0.130910E+08   0.130693E+08  -0.312213E+00   0.801099E+07   0.801028E+07   0.180377E+02
   0.144403E-01   0.125876E+08   0.125682E+08  -0.310750E+04  -0.373374E+04   0.763592E+07   0.125622E+08   0.125845E+08   0.125622E+08  -0.300098E+00   0.770050E+07   0.769977E+07   0.166958E+02
   0.159584E-01   0.120478E+08   0.120255E+08  -0.258087E+04  -0.292620E+04   0.698728E+07   0.120215E+08   0.120443E+08   0.120215E+08  -0.287182E+00   0.736944E+07   0.736870E+07   0.155057E+02
   0.176361E-01   0.114745E+08   0.114489E+08  -0.206665E+04  -0.228204E+04   0.633781E+07   0.114474E+08   0.114705E+08   0.114474E+08  -0.273466E+00   0.701783E+07   0.701707E+07   0.144317E+02
   0.194902E-01   0.108686E+08   0.108393E+08  -0.150062E+04  -0.176991E+04   0.569379E+07   0.108407E+08   0.108640E+08   0.108407E+08  -0.258973E+00   0.664626E+07   0.664548E+07   0.134483E+02
