#    L    TT             EE             BB             TE             PP             TP             EP          
   117   0.382279E+04   0.110979E+01   0.000000E+00  -0.424260E+02   0.637911E-07  -0.277613E-03  -0.123913E-05
   118   0.386224E+04   0.111303E+01   0.000000E+00  -0.428561E+02   0.633654E-07  -0.273005E-03  -0.123924E-05
   119   0.390163E+04   0.111564E+01   0.000000E+00  -0.432633E+02   0.629435E-07  -0.268493E-03  -0.124032E-05
   120   0.394097E+04   0.111762E+01   0.000000E+00  -0.436471E+02   0.625252E-07  -0.264075E-03  -0.124217E-05
   121   0.398023E+04   0.111896E+01   0.000000E+00  -0.440066E+02   0.621105E-07  -0.259747E-03  -0.124461E-05
   122   0.401940E+04   0.111968E+01   0.000000E+00  -0.443414E+02   0.616995E-07  -0.255508E-03  -0.124744E-05
   123   0.405848E+04   0.111976E+01   0.000000E+00  -0.446507E+02   0.612921E-07  -0.251354E-03  -0.125047E-05
   124   0.409745E+04   0.111920E+01   0.000000E+00  -0.449338E+02   0.608883E-07  -0.247284E-03  -0.125349E-05
   125   0.413629E+04   0.111801E+01   0.000000E+00  -0.451902E+02   0.604881E-07  -0.243295E-03  -0.125632E-05
   126   0.417499E+04   0.111618E+01   0.000000E+00  -0.454191E+02   0.600914E-07  -0.239385E-03  -0.125876E-05
   127   0.421355E+04   0.111373E+01   0.000000E+00  -0.456200E+02   0.596983E-07  -0.235550E-03  -0.126062E-05
   128   0.425193E+04   0.111064E+01   0.000000E+00  -0.457923E+02   0.593088E-07  -0.231788E-03  -0.126170E-05
   129   0.429015E+04   0.110693E+01   0.000000E+00  -0.459352E+02   0.589227E-07  -0.228098E-03  -0.126181E-05
   130   0.432818E+04   0.110258E+01   0.000000E+00  -0.460482E+02   0.585402E-07  -0.224476E-03  -0.126076E-05
   131   0.436599E+04   0.109761E+01   0.000000E+00  -0.461307E+02   0.581612E-07  -0.220920E-03  -0.125839E-05
   132   0.440360E+04   0.109205E+01   0.000000E+00  -0.461822E+02   0.577857E-07  -0.217430E-03  -0.125473E-05
   133   0.444097E+04   0.108589E+01   0.000000E+00  -0.462025E+02   0.574136E-07  -0.214003E-03  -0.124983E-05
   134   0.447809E+04   0.107918E+01   0.000000E+00  -0.461910E+02   0.570449E-07  -0.210639E-03  -0.124376E-05
   135   0.451495E+04   0.107192E+01   0.000000E+00  -0.461476E+02   0.566796E-07  -0.207338E-03  -0.123659E-05
   136   0.455154E+04   0.106414E+01   0.000000E+00  -0.460717E+02   0.563176E-07  -0.204098E-03  -0.122836E-05
   137   0.458784E+04   0.105585E+01   0.000000E+00  -0.459630E+02   0.559589E-07  -0.200919E-03  -0.121915E-05
   138   0.462383E+04   0.104709E+01   0.000000E+00  -0.458213E+02   0.556036E-07  -0.197798E-03  -0.120902E-05
   139   0.465948E+04   0.103787E+01   0.000000E+00  -0.456463E+02   0.552514E-07  -0.194737E-03  -0.119802E-05
   140   0.469482E+04   0.102822E+01   0.000000E+00  -0.454375E+02   0.549025E-07  -0.191733E-03  -0.118623E-05
   141   0.472979E+04   0.101818E+01   0.000000E+00  -0.451949E+02   0.545568E-07  -0.188786E-03  -0.117370E-05
   142   0.476440E+04   0.100775E+01   0.000000E+00  -0.449179E+02   0.542143E-07  -0.185894E-03  -0.116049E-05
   143   0.479863E+04   0.996963E+00   0.000000E+00  -0.446064E+02   0.538748E-07  -0.183057E-03  -0.114667E-05
   144   0.483245E+04   0.985852E+00   0.000000E+00  -0.442600E+02   0.535385E-07  -0.180274E-03  -0.113230E-05
   145   0.486586E+04   0.974434E+00   0.000000E+00  -0.438784E+02   0.532053E-07  -0.177545E-03  -0.111744E-05
   146   0.489882E+04   0.962745E+00   0.000000E+00  -0.434615E+02   0.528751E-07  -0.174867E-03  -0.110215E-05
   147   0.493133E+04   0.950818E+00   0.000000E+00  -0.430088E+02   0.525478E-07  -0.172240E-03  -0.108650E-05
   148   0.496335E+04   0.938676E+00   0.000000E+00  -0.425201E+02   0.522236E-07  -0.169664E-03  -0.107054E-05
   149   0.499486E+04   0.926350E+00   0.000000E+00  -0.419951E+02   0.519024E-07  -0.167137E-03  -0.105434E-05
   150   0.502585E+04   0.913871E+00   0.000000E+00  -0.414335E+02   0.515840E-07  -0.164659E-03  -0.103795E-05
   151   0.505628E+04   0.901270E+00   0.000000E+00  -0.408351E+02   0.512686E-07  -0.162228E-03  -0.102144E-05
   152   0.508617E+04   0.888583E+00   0.000000E+00  -0.402001E+02   0.509560E-07  -0.159844E-03  -0.100481E-05
   153   0.511550E+04   0.875851E+00   0.000000E+00  -0.395285E+02   0.506462E-07  -0.157506E-03  -0.988042E-06
   154   0.514426E+04   0.863118E+00   0.000000E+00  -0.388207E+02   0.503393E-07  -0.155214E-03  -0.971143E-06
   155   0.517245E+04   0.850412E+00   0.000000E+00  -0.380767E+02   0.500352E-07  -0.152966E-03  -0.954104E-06
   156   0.520008E+04   0.837781E+00   0.000000E+00  -0.372968E+02   0.497338E-07  -0.150762E-03  -0.936919E-06
   157   0.522712E+04   0.825256E+00   0.000000E+00  -0.364811E+02   0.494352E-07  -0.148601E-03  -0.919584E-06
   158   0.525359E+04   0.812892E+00   0.000000E+00  -0.356298E+02   0.491393E-07  -0.146484E-03  -0.902094E-06
   159   0.527946E+04   0.800718E+00   0.000000E+00  -0.347432E+02   0.488461E-07  -0.144408E-03  -0.884443E-06
   160   0.530473E+04   0.788783E+00   0.000000E+00  -0.338215E+02   0.485556E-07  -0.142373E-03  -0.866625E-06
   161   0.532938E+04   0.777131E+00   0.000000E+00  -0.328649E+02   0.482677E-07  -0.140378E-03  -0.848637E-06
   162   0.535339E+04   0.765805E+00   0.000000E+00  -0.318737E+02   0.479825E-07  -0.138424E-03  -0.830471E-06
   163   0.537677E+04   0.754861E+00   0.000000E+00  -0.308480E+02   0.476998E-07  -0.136508E-03  -0.812124E-06
   164   0.539948E+04   0.744328E+00   0.000000E+00  -0.297882E+02   0.474197E-07  -0.134631E-03  -0.793589E-06
   165   0.542154E+04   0.734255E+00   0.000000E+00  -0.286944E+02   0.471422E-07  -0.132792E-03  -0.774863E-06
   166   0.544291E+04   0.724693E+00   0.000000E+00  -0.275670E+02   0.468672E-07  -0.130990E-03  -0.755938E-06
   167   0.546361E+04   0.715692E+00   0.000000E+00  -0.264063E+02   0.465948E-07  -0.129224E-03  -0.736811E-06
   168   0.548361E+04   0.707302E+00   0.000000E+00  -0.252128E+02   0.463248E-07  -0.127493E-03  -0.717475E-06
   169   0.550291E+04   0.699573E+00   0.000000E+00  -0.239868E+02   0.460573E-07  -0.125798E-03  -0.697927E-06
   170   0.552150E+04   0.692548E+00   0.000000E+00  -0.227286E+02   0.457922E-07  -0.124136E-03  -0.678160E-06
   171   0.553937E+04   0.686285E+00   0.000000E+00  -0.214386E+02   0.455295E-07  -0.122509E-03  -0.658168E-06
   172   0.555653E+04   0.680833E+00   0.000000E+00  -0.201172E+02   0.452692E-07  -0.120914E-03  -0.637948E-06
   173   0.557294E+04   0.676242E+00   0.000000E+00  -0.187648E+02   0.450113E-07  -0.119351E-03  -0.617494E-06
   174   0.558861E+04   0.672563E+00   0.000000E+00  -0.173818E+02   0.447557E-07  -0.117819E-03  -0.596800E-06
   175   0.560354E+04   0.669861E+00   0.000000E+00  -0.159688E+02   0.445024E-07  -0.116318E-03  -0.575861E-06
   176   0.561771E+04   0.668179E+00   0.000000E+00  -0.145262E+02   0.442515E-07  -0.114848E-03  -0.554676E-06
