#           k/h    P           
   0.749945E-01   0.753364E+04
   0.765095E-01   0.735543E+04
   0.780551E-01   0.716873E+04
   0.796319E-01   0.697433E+04
   0.812406E-01   0.677377E+04
   0.828817E-01   0.656867E+04
   0.845561E-01   0.636080E+04
   0.862642E-01   0.615215E+04
   0.880068E-01   0.594456E+04
   0.897847E-01   0.573999E+04
   0.915985E-01   0.554027E+04
   0.934489E-01   0.534720E+04
   0.953367E-01   0.516267E+04
   0.972626E-01   0.498830E+04
   0.992274E-01   0.482555E+04
   0.101232E+00   0.467574E+04
   0.103277E+00   0.453995E+04
   0.105363E+00   0.441846E+04
   0.107492E+00   0.431116E+04
   0.109663E+00   0.421752E+04
   0.111879E+00   0.413585E+04
   0.114139E+00   0.406435E+04
   0.116445E+00   0.400056E+04
   0.118797E+00   0.394169E+04
   0.121197E+00   0.388494E+04
   0.123645E+00   0.382742E+04
   0.126143E+00   0.376647E+04
   0.128691E+00   0.369988E+04
   0.131291E+00   0.362579E+04
   0.133943E+00   0.354327E+04
   0.136649E+00   0.345189E+04
   0.139409E+00   0.335225E+04
   0.142226E+00   0.324550E+04
   0.145099E+00   0.313353E+04
   0.148030E+00   0.301858E+04
   0.151020E+00   0.290342E+04
   0.154071E+00   0.279095E+04
   0.157184E+00   0.268434E+04
   0.160359E+00   0.258642E+04
   0.163598E+00   0.249953E+04
   0.166903E+00   0.242435E+04
   0.170275E+00   0.236049E+04
   0.173715E+00   0.230667E+04
   0.177224E+00   0.226081E+04
   0.180804E+00   0.222019E+04
   0.184457E+00   0.218217E+04
   0.188183E+00   0.214399E+04
   0.191985E+00   0.210284E+04
   0.195863E+00   0.205627E+04
   0.199820E+00   0.200315E+04
   0.203856E+00   0.194376E+04
   0.207974E+00   0.187960E+04
   0.212176E+00   0.181306E+04
   0.216462E+00   0.174685E+04
   0.220835E+00   0.168365E+04
   0.225296E+00   0.162571E+04
   0.229847E+00   0.157455E+04
   0.234490E+00   0.153062E+04
   0.239227E+00   0.149320E+04
   0.244060E+00   0.146069E+04
   0.248990E+00   0.143087E+04
   0.254020E+00   0.140124E+04
   0.259152E+00   0.136956E+04
   0.264387E+00   0.133453E+04
   0.269728E+00   0.129629E+04
   0.275177E+00   0.125609E+04
   0.280736E+00   0.121562E+04
   0.286407E+00   0.117672E+04
   0.292193E+00   0.114093E+04
   0.298096E+00   0.110895E+04
   0.304118E+00   0.108118E+04
   0.310261E+00   0.105622E+04
   0.316529E+00   0.103260E+04
   0.322923E+00   0.100905E+04
   0.329447E+00   0.984365E+03
   0.336102E+00   0.958458E+03
   0.342892E+00   0.931791E+03
   0.349819E+00   0.905589E+03
   0.356885E+00   0.880823E+03
   0.364095E+00   0.858260E+03
   0.371450E+00   0.837566E+03
   0.378954E+00   0.818536E+03
   0.386609E+00   0.800171E+03
   0.394419E+00   0.781628E+03
   0.402387E+00   0.762833E+03
   0.410516E+00   0.743934E+03
   0.418809E+00   0.725567E+03
   0.427269E+00   0.708119E+03
   0.435901E+00   0.691894E+03
   0.444706E+00   0.676619E+03
   0.453690E+00   0.661883E+03
   0.462855E+00   0.647388E+03
   0.472206E+00   0.632893E+03
   0.481745E+00   0.618672E+03
   0.491477E+00   0.605010E+03
   0.501405E+00   0.591961E+03
   0.511534E+00   0.579511E+03
   0.521868E+00   0.567501E+03
   0.532411E+00   0.555721E+03
   0.543166E+00   0.544167E+03
   0.554139E+00   0.532884E+03
   0.565333E+00   0.522032E+03
   0.576753E+00   0.511574E+03
   0.588404E+00   0.501433E+03
   0.600291E+00   0.491554E+03
   0.612418E+00   0.481882E+03
   0.624789E+00   0.472482E+03
   0.637411E+00   0.463339E+03
   0.650288E+00   0.454494E+03
   0.663424E+00   0.445848E+03
   0.676826E+00   0.437415E+03
   0.690499E+00   0.429170E+03
   0.704448E+00   0.421144E+03
   0.718679E+00   0.413309E+03
   0.733197E+00   0.405655E+03
   0.748009E+00   0.398170E+03
   0.763119E+00   0.390846E+03
   0.778536E+00   0.383677E+03
   0.794263E+00   0.376655E+03
   0.810308E+00   0.369772E+03
   0.826677E+00   0.363023E+03
   0.843378E+00   0.356398E+03
   0.860415E+00   0.349893E+03
   0.877797E+00   0.343502E+03
   0.895529E+00   0.337218E+03
   0.913620E+00   0.331036E+03
   0.932076E+00   0.324952E+03
   0.950906E+00   0.318960E+03
   0.970115E+00   0.313056E+03
   0.989713E+00   0.307236E+03
   0.100971E+01   0.301496E+03
   0.103010E+01   0.295831E+03
   0.105091E+01   0.290240E+03
   0.107214E+01   0.284718E+03
   0.109380E+01   0.279263E+03
   0.111590E+01   0.273872E+03
   0.113844E+01   0.268543E+03
   0.116144E+01   0.263275E+03
   0.118490E+01   0.258064E+03
   0.120884E+01   0.252910E+03
   0.123326E+01   0.247812E+03
   0.125817E+01   0.242768E+03
   0.128359E+01   0.237777E+03
   0.130952E+01   0.232839E+03
   0.133597E+01   0.227952E+03
   0.136296E+01   0.223117E+03
   0.139049E+01   0.218332E+03
   0.141858E+01   0.213599E+03
   0.144724E+01   0.208917E+03
   0.147648E+01   0.204286E+03
   0.150630E+01   0.199707E+03
   0.153673E+01   0.195179E+03
   0.156778E+01   0.190704E+03
   0.159945E+01   0.186282E+03
   0.163176E+01   0.181912E+03
   0.166472E+01   0.177597E+03
   0.169835E+01   0.173336E+03
   0.173266E+01   0.169132E+03
   0.176766E+01   0.164983E+03
   0.180337E+01   0.160892E+03
   0.183980E+01   0.156858E+03
   0.187697E+01   0.152883E+03
   0.191489E+01   0.148967E+03
   0.195357E+01   0.145111E+03
